                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.81046,                 2.5392,                  3.225,                 1.1599,                0.00588,                0.92857,                0.09446,                0.06954,                0.00562,                0.91667,                 0.1103,                0.07316,                0.68478,                 2.0105,                 3.1971,                 1.1948,                 0.0982,                 0.0002,                 0.0002
                      1,                0.83826,                 3.2753,                 3.2363,                 1.2529,                0.00589,                0.92857,                0.09418,                0.06579,                0.00562,                0.91667,                0.12589,                0.08576,                0.72514,                 2.0861,                 3.1759,                 1.2023,               0.095495,             0.00049505,             0.00049505
                      2,                0.80421,                 2.5103,                 3.1831,                 1.1571,                 0.0055,                0.85714,                0.12081,                0.08863,                0.00562,                0.91667,                0.11913,                 0.0884,                0.67086,                   1.93,                 3.1858,                 1.1801,               0.092784,             0.00078416,             0.00078416
                      3,                0.90613,                  2.431,                 3.1811,                 1.2159,                0.00584,                0.92857,                0.11679,                 0.0982,                0.00525,                0.84524,                0.12403,                0.10356,                0.67306,                 1.8227,                 3.2039,                 1.2088,               0.090067,              0.0010673,              0.0010673
                      4,                0.72384,                 2.2351,                 3.1803,                  1.148,                0.00559,                 0.8869,                0.07492,                0.05673,                0.00496,                0.80357,                0.08296,                0.06003,                0.67909,                 1.7932,                 3.2018,                 1.2263,               0.087345,              0.0013446,              0.0013446
                      5,                 0.6518,                 1.8492,                 3.0973,                 1.0812,                 0.0056,                 0.8869,                0.09913,                0.06453,                0.00528,                0.84524,                0.10346,                0.06995,                0.65654,                  1.948,                 3.1998,                 1.1851,               0.084616,              0.0016158,              0.0016158
                      6,                0.55181,                 1.3239,                 3.0282,                0.99151,                0.00623,                      1,                0.12143,                0.07222,                0.00525,                0.84524,                0.12605,                0.07276,                0.70052,                 2.0331,                 3.1605,                 1.2073,               0.081881,              0.0018812,              0.0018812
                      7,                0.55652,                 1.4555,                 2.9822,                 1.0391,                0.00622,                      1,                0.09976,                0.07015,                0.00593,                0.95833,                0.12617,                0.07588,                0.75897,                 2.1492,                 3.1852,                  1.281,               0.079141,              0.0021406,              0.0021406
                      8,                0.58556,                 1.3847,                 3.0347,                 1.0325,                0.00627,                      1,                0.19252,                0.13161,                0.00563,                0.91667,                0.19478,                0.11124,                0.62814,                 2.0263,                 3.1182,                 1.1297,               0.076394,              0.0023941,              0.0023941
                      9,                0.60589,                  1.069,                 2.8637,                 1.0265,                0.00625,                      1,                0.22251,                0.15135,                0.00562,                0.91667,                0.22063,                0.13807,                0.62372,                 2.1036,                 3.0802,                 1.1223,               0.073642,              0.0026416,              0.0026416
                     10,                0.56804,                 1.2158,                  2.773,                 1.0123,                0.00624,                      1,                0.23892,                0.16448,                0.00562,                0.91667,                0.24556,                0.16086,                 0.7577,                 2.2032,                 3.0741,                 1.2041,               0.070883,              0.0028832,              0.0028832
                     11,                 0.5036,                0.87825,                 2.6144,                0.96572,                0.00627,                      1,                0.28997,                0.19618,                0.00563,                0.91667,                0.29999,                0.18844,                0.75069,                 2.0911,                  3.048,                 1.2253,               0.068119,              0.0031189,              0.0031189
                     12,                0.59851,                 1.2082,                 2.4264,                0.99768,                0.00625,                      1,                0.38341,                0.26803,                0.00594,                0.95833,                0.35738,                0.24711,                0.77587,                 1.9973,                 2.9517,                 1.2235,               0.065349,              0.0033486,              0.0033486
                     13,                 0.6346,                 1.2069,                 2.3346,                 1.0532,                 0.0059,                0.92857,                0.37964,                0.27489,                0.00594,                0.95833,                0.37815,                0.24581,                0.85299,                 2.2568,                  2.908,                  1.286,               0.062572,              0.0035723,              0.0035723
                     14,                 0.5816,                 1.2603,                 2.1094,                0.99952,                0.34932,                0.09932,                0.37571,                0.27355,                0.34932,                0.09932,                0.40163,                0.25668,                0.79714,                 2.1961,                 2.7395,                 1.2067,                0.05979,              0.0037902,              0.0037902
                     15,                0.58267,                 1.1222,                 1.9157,                 1.0079,                0.28121,                0.10935,                0.35042,                0.25427,                0.28121,                0.10935,                0.37433,                 0.2483,                 0.7634,                 2.0042,                 2.6593,                 1.1981,               0.057002,              0.0040021,              0.0040021
                     16,                0.55035,                0.88758,                 1.8166,                 1.0099,                0.56208,                0.35119,                0.41047,                0.29952,                0.57201,                0.35119,                0.38269,                0.27956,                0.91912,                 1.9131,                 2.5945,                 1.3546,               0.054208,               0.004208,               0.004208
                     17,                 0.6279,                0.81324,                 1.7852,                0.99744,                0.55855,                0.42262,                0.48657,                0.37901,                0.55855,                0.42262,                0.49263,                 0.3859,                0.87127,                 1.9595,                  2.466,                 1.2567,               0.051408,               0.004408,               0.004408
                     18,                 0.5742,                0.88445,                  1.832,                0.97969,                0.63692,                0.38095,                0.46339,                 0.3548,                0.63692,                0.38095,                0.49843,                0.38321,                0.95797,                 1.9775,                 2.6695,                 1.3563,               0.048602,              0.0046021,              0.0046021
                     19,                0.59973,                0.98141,                 1.6208,                 1.0202,                0.68649,                0.30952,                0.46248,                0.34785,                0.71365,                0.30952,                0.45426,                0.38365,                  1.012,                 2.1569,                 2.6226,                 1.3923,                0.04579,              0.0047902,              0.0047902
                     20,                0.59717,                0.76672,                 1.6779,                0.97824,                0.75127,                0.26786,                0.46186,                0.34747,                0.88571,                0.29941,                0.46494,                0.38717,                 1.0688,                  2.204,                 2.6152,                 1.4683,               0.042972,              0.0049724,              0.0049724
                     21,                0.60504,                0.92052,                 1.5275,                0.95738,                0.82528,                0.43295,                0.59752,                  0.481,                0.86716,                0.49103,                0.66767,                0.51968,                0.96618,                 1.9881,                 2.4064,                 1.3507,               0.040149,              0.0051487,              0.0051487
                     22,                0.69444,                 1.4572,                 1.6693,                 1.1404,                0.82797,                0.44884,                0.54671,                0.36657,                0.82963,                0.44658,                0.54778,                0.41125,                0.97396,                 2.1084,                 2.3729,                 1.2911,               0.037319,               0.005319,               0.005319
                     23,                0.55879,                 1.0053,                 1.4445,                 1.0042,                0.74184,                0.39112,                0.56224,                0.38444,                0.74992,                0.38809,                0.56445,                0.43425,                0.99171,                 1.8989,                 2.3967,                 1.3665,               0.034483,              0.0054833,              0.0054833
                     24,                0.57069,                 1.0661,                 1.3636,                0.99753,                0.58271,                0.39286,                0.48874,                0.29823,                0.58517,                0.39286,                0.52158,                0.36615,                 1.0743,                 2.2196,                 2.4388,                 1.3929,               0.031642,              0.0056418,              0.0056418
                     25,                0.59931,                 0.9522,                 1.4164,                0.96447,                0.59567,                0.42619,                0.47418,                 0.3237,                0.59567,                0.42619,                0.50879,                0.34643,                 1.0549,                 2.1946,                  2.533,                 1.4977,               0.028794,              0.0057942,              0.0057942
                     26,                0.55888,                 0.8299,                 1.2338,                0.93184,                0.59733,                0.48072,                0.45681,                0.27395,                0.59733,                0.48072,                0.46004,                0.28625,                 1.3197,                  3.001,                  2.532,                 1.6884,               0.025941,              0.0059408,              0.0059408
                     27,                 0.6685,                0.87311,                 1.3101,                 1.0091,                0.59699,                0.45236,                0.40485,                0.24506,                0.59669,                0.45102,                0.40142,                0.27513,                 1.1452,                  2.693,                 2.7369,                 1.5093,               0.023081,              0.0060814,              0.0060814
                     28,                0.53785,                0.76055,                 1.2665,                0.99764,                0.59699,                0.45236,                0.40485,                0.24506,                0.59669,                0.45102,                0.40142,                0.27513,                 1.1452,                  2.693,                 2.7369,                 1.5093,               0.020216,              0.0062161,              0.0062161
                     29,                0.46204,                0.92515,                 1.1958,                0.93571,                0.57487,                0.45238,                0.46544,                 0.2678,                0.66118,                0.44855,                0.48478,                0.30796,                 1.3388,                  2.583,                 2.7224,                 1.7757,               0.017345,              0.0063448,              0.0063448
                     30,                0.68002,                0.97521,                 1.4478,                 1.0567,                0.59748,                0.49405,                0.48112,                0.31172,                0.59748,                0.49405,                0.47804,                0.35876,                 1.1788,                 2.4009,                 2.5626,                 1.5104,               0.014468,              0.0064676,              0.0064676
                     31,                0.65202,                 1.1074,                 1.2744,                 1.0434,                 0.5902,                0.49405,                0.47211,                0.33472,                 0.5902,                0.49405,                0.47124,                0.34454,                 1.2043,                 2.3951,                 2.4321,                 1.5333,               0.011584,              0.0065844,              0.0065844
                     32,                0.61327,                0.96669,                  1.235,                 1.0164,                 0.5902,                0.49405,                0.47211,                0.33472,                 0.5902,                0.49405,                0.47124,                0.34454,                 1.2043,                 2.3951,                 2.4321,                 1.5333,              0.0086954,              0.0066954,              0.0066954
                     33,                0.56997,                 1.0588,                  1.308,                0.99351,                0.60957,                0.46429,                0.43468,                0.31095,                 0.6061,                0.46429,                0.44589,                0.32607,                 1.2516,                  2.673,                 2.3086,                 1.5855,               0.006733,               0.006733,               0.006733
                     34,                0.51823,                0.74012,                 1.1736,                0.94704,                0.60121,                0.39286,                0.49357,                 0.3398,                0.60121,                0.39286,                 0.4922,                0.34693,                 1.2037,                 2.5971,                 2.4688,                 1.5192,               0.006733,               0.006733,               0.006733
                     35,                0.62346,                 1.0524,                 1.2729,                 1.0066,                0.66112,                0.49316,                0.51597,                0.36437,                0.66112,                0.49316,                0.53709,                0.38659,                 1.2193,                 2.1433,                  2.546,                 1.5426,               0.006634,               0.006634,               0.006634
                     36,                0.59418,                 1.1438,                 1.2014,                 1.0183,                0.66112,                0.49316,                0.51597,                0.36437,                0.66112,                0.49316,                0.53709,                0.38659,                 1.2193,                 2.1433,                  2.546,                 1.5426,               0.006535,               0.006535,               0.006535
                     37,                0.60907,                0.93055,                  1.195,                0.99423,                0.61313,                0.35404,                0.45009,                 0.3121,                0.68196,                0.43798,                0.52415,                0.35175,                   1.28,                 2.3696,                 2.5315,                 1.6249,               0.006436,               0.006436,               0.006436
                     38,                0.61478,                 0.7735,                  1.212,                 1.0219,                 0.5814,                0.39286,                0.37244,                0.29982,                 0.5814,                0.39286,                0.41241,                0.28504,                 1.1496,                 2.4525,                 2.4473,                 1.5345,               0.006337,               0.006337,               0.006337
                     39,                0.52621,                0.88352,                 1.1452,                0.94746,                0.48885,                0.39914,                0.35458,                0.29468,                0.58393,                0.50595,                0.47975,                  0.314,                 1.0786,                 2.3887,                  2.352,                 1.4346,               0.006238,               0.006238,               0.006238
                     40,                0.76657,                 1.3473,                 1.4917,                 1.1244,                0.48885,                0.39914,                0.35458,                0.29468,                0.58393,                0.50595,                0.47975,                  0.314,                 1.0786,                 2.3887,                  2.352,                 1.4346,               0.006139,               0.006139,               0.006139
                     41,                0.66984,                 0.9992,                  1.192,                  1.057,                 0.7972,                0.30606,                0.32222,                0.22843,                 0.7972,                0.30606,                0.33347,                0.26313,                 1.2857,                 2.4885,                 2.6306,                 1.6134,                0.00604,                0.00604,                0.00604
                     42,                0.68465,                 1.0906,                 1.4521,                 1.0813,                0.24991,                 0.3331,                0.42372,                0.25173,                 0.2524,                0.33333,                0.43885,                0.28734,                 1.3801,                 2.2803,                 2.6046,                 1.7457,               0.005941,               0.005941,               0.005941
                     43,                0.56235,                0.94998,                 1.2564,                0.96626,                0.53033,                0.52405,                0.47764,                0.25902,                0.53033,                0.52405,                0.47635,                0.30378,                 1.3284,                 2.4541,                 2.4215,                 1.7507,               0.005842,               0.005842,               0.005842
                     44,                0.64361,                 0.9377,                 1.2162,                0.99022,                0.53033,                0.52405,                0.47764,                0.25902,                0.53033,                0.52405,                0.47635,                0.30378,                 1.3284,                 2.4541,                 2.4215,                 1.7507,               0.005743,               0.005743,               0.005743
                     45,                0.60909,                0.85957,                  1.071,                0.96955,                0.65193,                0.38095,                0.44871,                0.25905,                0.65193,                0.38095,                0.44864,                0.28281,                  1.295,                 2.4865,                 2.5198,                 1.7177,               0.005644,               0.005644,               0.005644
                     46,                0.58446,                0.95982,                 1.1336,                 1.0054,                0.43045,                0.30952,                0.33458,                0.23951,                0.43045,                0.30952,                0.32859,                 0.2227,                 1.2777,                 2.8772,                 2.7296,                 1.6226,               0.005545,               0.005545,               0.005545
                     47,                 0.5676,                 0.9358,                 1.1583,                0.97945,                0.58211,                0.39778,                0.44466,                0.33133,                0.64201,                0.43945,                0.44543,                0.29524,                  1.206,                 2.5399,                 2.4961,                 1.4959,               0.005446,               0.005446,               0.005446
                     48,                0.58095,                 1.0636,                 1.1646,                0.97472,                0.58211,                0.39778,                0.44466,                0.33133,                0.64201,                0.43945,                0.44543,                0.29524,                  1.206,                 2.5399,                 2.4961,                 1.4959,               0.005347,               0.005347,               0.005347
                     49,                0.57514,                0.91659,                 1.0941,                0.96534,                0.57795,                0.42262,                0.44835,                0.33234,                0.57795,                0.42262,                0.45159,                0.28665,                  1.219,                  2.722,                 2.4823,                 1.4722,               0.005248,               0.005248,               0.005248
                     50,                0.62345,                 0.7728,                 1.2573,                0.99965,                0.53549,                0.49405,                0.42659,                0.33729,                 0.5862,                0.54479,                0.44474,                0.28025,                 1.1006,                 2.7896,                 2.3208,                  1.467,               0.005149,               0.005149,               0.005149
                     51,                0.58626,                 1.1047,                 1.1656,                 1.0315,                0.60722,                0.29612,                0.29982,                0.22366,                0.47484,                0.38095,                0.33475,                0.20366,                  1.233,                 2.8005,                 2.7425,                 1.5234,                0.00505,                0.00505,                0.00505
                     52,                0.65443,                 1.2193,                 1.1604,                 1.0216,                0.60722,                0.29612,                0.29982,                0.22366,                0.47484,                0.38095,                0.33475,                0.20366,                  1.233,                 2.8005,                 2.7425,                 1.5234,               0.004951,               0.004951,               0.004951
                     53,                0.58261,                0.76198,                 1.1036,                0.99731,                0.51896,                0.36907,                0.34863,                0.22788,                0.51896,                0.36907,                0.34835,                0.21296,                 1.4021,                  2.948,                 2.8426,                 1.6957,               0.004852,               0.004852,               0.004852
                     54,                0.61222,                0.88004,                 1.1976,                0.97929,                0.74004,                0.36793,                0.44115,                0.27221,                0.49822,                0.33984,                 0.3566,                0.22608,                 1.3429,                 2.8472,                 2.6534,                 1.6995,               0.004753,               0.004753,               0.004753
                     55,                0.60431,                 1.0096,                 1.1429,                 1.0482,                0.61319,                0.50127,                0.50041,                0.38237,                0.61319,                0.50127,                0.50968,                0.37737,                0.96667,                 2.8183,                 2.0391,                 1.2524,               0.004654,               0.004654,               0.004654
                     56,                0.55775,                0.94466,                 1.1049,                0.96244,                0.61319,                0.50127,                0.50041,                0.38237,                0.61319,                0.50127,                0.50968,                0.37737,                0.96667,                 2.8183,                 2.0391,                 1.2524,               0.004555,               0.004555,               0.004555
                     57,                0.56609,                0.79551,                 1.0787,                0.98251,                0.64104,                0.61905,                0.57003,                0.41572,                0.67989,                0.61905,                0.58684,                0.42762,                 1.0102,                 2.9146,                 1.8008,                 1.3733,               0.004456,               0.004456,               0.004456
                     58,                0.58663,                0.86715,                 1.0812,                 1.0019,                0.68047,                0.66071,                0.62566,                0.45561,                0.68047,                0.66071,                0.62074,                0.45737,                 1.0219,                 2.8177,                   1.76,                 1.3634,               0.004357,               0.004357,               0.004357
                     59,                0.53259,                 1.0066,                 1.0948,                0.93734,                0.67624,                0.70238,                0.63669,                0.46199,                0.67624,                0.70238,                 0.6674,                0.49198,                 1.1067,                 3.2496,                 1.6204,                 1.4992,               0.004258,               0.004258,               0.004258
                     60,                0.56724,                0.95015,                 1.0864,                0.96018,                0.67624,                0.70238,                0.63669,                0.46199,                0.67624,                0.70238,                 0.6674,                0.49198,                 1.1067,                 3.2496,                 1.6204,                 1.4992,               0.004159,               0.004159,               0.004159
                     61,                 0.5769,                0.97086,                 1.1371,                0.98127,                0.58257,                0.77381,                0.60365,                0.47529,                0.58257,                0.77381,                0.61862,                 0.4676,                0.97936,                 2.8888,                 1.6927,                 1.4041,                0.00406,                0.00406,                0.00406
                     62,                0.56889,                0.88404,                 1.1353,                 1.0337,                 0.6129,                0.73214,                 0.6219,                0.49759,                0.64098,                0.80357,                0.63747,                0.45928,                0.89644,                 2.7149,                 1.7777,                 1.3329,               0.003961,               0.003961,               0.003961
                     63,                0.51128,                0.74621,                 1.0719,                0.93692,                0.68681,                0.49751,                0.55409,                0.42285,                0.68681,                0.49751,                0.59064,                0.40613,                 1.0433,                 2.5953,                 2.1846,                 1.4793,               0.003862,               0.003862,               0.003862
                     64,                0.69464,                0.98716,                 1.3711,                 1.1007,                0.68681,                0.49751,                0.55409,                0.42285,                0.68681,                0.49751,                0.59064,                0.40613,                 1.0433,                 2.5953,                 2.1846,                 1.4793,               0.003763,               0.003763,               0.003763
                     65,                0.57225,                 0.9167,                 1.0527,                0.99483,                   0.52,                0.42262,                 0.3508,                 0.2406,                0.66708,                0.42262,                0.41278,                0.20825,                 1.4501,                 3.6092,                 2.7849,                 1.8215,               0.003664,               0.003664,               0.003664
                     66,                0.60532,                0.95531,                 1.2264,                 1.0433,                0.63482,                0.42262,                0.46436,                0.25324,                0.63482,                0.42262,                0.45161,                0.22142,                 1.3309,                 3.2247,                 2.6544,                 1.6619,               0.003565,               0.003565,               0.003565
                     67,                0.50259,                0.63229,                0.94782,                0.93498,                0.64289,                0.44933,                0.54507,                0.35819,                0.56062,                0.63359,                0.57634,                0.36588,                 1.1653,                 2.5609,                 2.2855,                 1.6048,               0.003466,               0.003466,               0.003466
